Attribution,Sub,TrialID,TrialType,InstructionType,ObjNumber,Position
0,0.173076923,0.981818182,1,1,1,0.833333333
0,0.173076923,0.018181818,0,0,0,0
0,0.173076923,0.763636364,1,0,1,0.833333333
0,0.173076923,0.127272727,0,0.666666667,0,0
0,0.173076923,0.618181818,0,0.666666667,0,1
0,0.173076923,0.054545455,0,0.333333333,0,0
0,0.173076923,0.472727273,0,0,0,1
0,0.173076923,0.272727273,1,0.333333333,0,0.666666667
0,0.173076923,0.072727273,0,0.333333333,0,0
0,0.173076923,0.381818182,1,1,0,0.666666667
0,0.173076923,0.927272727,1,0.666666667,1,0.833333333
0,0.173076923,0.218181818,1,0,0,0.666666667
0,0.173076923,0.527272727,1,0.333333333,0,0.333333333
0,0.173076923,0.109090909,0,0.666666667,0,0
0,0.173076923,0.181818182,0,1,0,0
0,0.173076923,0.254545455,1,0,0,0.666666667
0,0.173076923,0.909090909,1,0.666666667,1,0.833333333
0,0.173076923,0.490909091,1,0,0,1
0,0.173076923,0.563636364,1,0.333333333,0,1
0,0.173076923,0.709090909,1,1,0,1
0,0.173076923,0.963636364,1,1,1,0.5
0,0.173076923,0.854545455,1,0.333333333,1,0.833333333
0,0.173076923,0.4,1,1,0,0.666666667
0,0.173076923,0.581818182,0,0.666666667,0,0.333333333
0,0.173076923,0.454545455,1,0,0,0.333333333
0,0.173076923,0.818181818,1,0.333333333,1,0.5
0,0.173076923,0.727272727,1,0,1,0.5
0,0.173076923,0.781818182,1,0,1,0.833333333
